Score, Film Name, Year, Date Rated, Mini Review, URL, IMDB ID
10,"12 Angry Men",1957,"Jun 21 2014, 22:06","",https://www.criticker.com/film/12-Angry-Men/,tt0050083
10,"2001: A Space Odyssey",1968,"Jun 21 2014, 21:45","",https://www.criticker.com/film/2001-A-Space-Odyssey/,tt0062622
10,"The 400 Blows",1959,"Jun 21 2014, 22:07","",https://www.criticker.com/film/The-400-Blows/,tt0053198
10,"Aguirre: The Wrath of God",1972,"Feb 08 2016, 01:02","",https://www.criticker.com/film/Aguirre-The-Wrath-of-God/,tt0068182
10,"Ali: Fear Eats the Soul",1974,"Sep 18 2014, 22:12","",https://www.criticker.com/film/Ali-Fear-Eats-the-Soul/,tt0071141
10,"An American Werewolf in London",1981,"Jun 23 2014, 03:40","",https://www.criticker.com/film/An-American-Werewolf-in-London/,tt0082010
10,"Arabian Nights",1974,"Jan 27 2018, 02:57","",https://www.criticker.com/film/Arabian-Nights-1974/,tt0071502
10,"Bang Bang",1971,"Jun 29 2014, 20:37","",https://www.criticker.com/film/Bang-Bang/,tt0201450
10,"Bicycle Thieves",1948,"Aug 24 2014, 14:49","",https://www.criticker.com/film/Bicycle-Thieves/,tt0040522
10,"Blow-Up",1966,"Jun 28 2016, 00:50","",https://www.criticker.com/film/Blow-Up/,tt0060176
10,"Boogie Nights",1997,"Jun 21 2014, 22:16","",https://www.criticker.com/film/Boogie-Nights/,tt0118749
10,"Breathless",1960,"Feb 07 2016, 17:49","",https://www.criticker.com/film/Breathless/,tt0053472
10,"C'eravamo tanto amati",1974,"Oct 19 2014, 19:01","",https://www.criticker.com/film/Ceravamo-tanto-amati/,tt0075793
10,"The Canterbury Tales",1972,"Feb 04 2018, 22:28","",https://www.criticker.com/film/The-Canterbury-Tales/,tt0067647
10,"City Lights",1931,"Jun 28 2014, 19:20","",https://www.criticker.com/film/City-Lights/,tt0021749
10,"Coffee and Cigarettes",2003,"Jan 25 2015, 20:55","",https://www.criticker.com/film/Coffee-and-Cigarettes/,tt0379217
10,"The Conversation",1974,"Jun 21 2014, 21:16","",https://www.criticker.com/film/The-Conversation/,tt0071360
10,"Dark Star",1974,"Dec 04 2016, 03:59","",https://www.criticker.com/film/Dark-Star/,tt0069945
10,"Dead Poets Society",1989,"Jun 21 2014, 22:26","",https://www.criticker.com/film/Dead-Poets-Society/,tt0097165
10,"Death Proof",2007,"Jun 22 2014, 02:14","",https://www.criticker.com/film/Death-Proof/,tt1028528
10,"The Decameron",1971,"Jan 31 2018, 00:18","",https://www.criticker.com/film/The-Decameron/,tt0065622
10,"Down by Law",1986,"Jun 21 2014, 21:16","",https://www.criticker.com/film/Down-by-Law/,tt0090967
10,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,"Jun 21 2014, 22:02","",https://www.criticker.com/film/Dr-Strangelove-or-How-I/,tt0057012
10,"Eaten Alive",1977,"Jan 20 2020, 02:30","",https://www.criticker.com/film/Eaten-Alive/,tt0074455
10,"Eraserhead",1977,"Jun 21 2014, 22:30","",https://www.criticker.com/film/Eraserhead/,tt0074486
10,"The Exorcist",1973,"Jun 22 2014, 02:17","",https://www.criticker.com/film/The-Exorcist/,tt0070047
10,"The Exterminating Angel",1962,"Jun 21 2014, 21:18","",https://www.criticker.com/film/The-Exterminating-Angel/,tt0056732
10,"F for Fake",1973,"Jun 05 2015, 04:17","",https://www.criticker.com/film/F-for-Fake/,tt0072962
10,"Fargo",1996,"Dec 23 2016, 07:29","",https://www.criticker.com/film/Fargo/,tt0116282
10,"Faster, Pussycat! Kill! Kill!",1965,"Jun 23 2014, 03:35","",https://www.criticker.com/film/Faster-Pussycat-Kill-Kill/,tt0059170
10,"Fitzcarraldo",1982,"Feb 07 2018, 01:20","",https://www.criticker.com/film/Fitzcarraldo/,tt0083946
10,"Fury",1936,"Jun 22 2014, 02:13","",https://www.criticker.com/film/Fury/,tt0027652
10,"Ghost Dog:  The Way of the Samurai",1999,"Jul 19 2016, 00:14","",https://www.criticker.com/film/Ghost-Dog-The-Way/,tt0165798
10,"Grizzly Man",2005,"Feb 03 2018, 20:29","",https://www.criticker.com/film/Grizzly-Man/,tt0427312
10,"Groundhog Day",1993,"Jun 21 2014, 21:47","",https://www.criticker.com/film/Groundhog-Day/,tt0107048
10,"Harakiri",1962,"Jan 07 2018, 17:54","",https://www.criticker.com/film/Harakiri/,tt0056058
10,"Kidnapped",1974,"Jun 22 2014, 02:07","",https://www.criticker.com/film/Kidnapped-1974/,tt0071275
10,"The Lady Vanishes",1938,"Jun 27 2021, 07:27","",https://www.criticker.com/film/The-Lady-Vanishes/,tt0030341
10,"The Loneliness of the Long Distance Runner",1962,"Feb 07 2016, 22:59","",https://www.criticker.com/film/The-Loneliness-of-the-Long/,tt0056194
10,"M",1931,"Apr 06 2015, 02:31","",https://www.criticker.com/film/M/,tt0022100
